,min_years_of_experience,min_hourly_salary,max_hourly_salary,min_yearly_salary,max_yearly_salary,required_degree,remote_work,required_skills
272,,,,,,,True,"['data analytics', 'data visualization', 'statistical analysis', 'risk analytics', 'data communication', 'collaboration', 'Python programming', 'machine learning', 'data preprocessing', 'presentation skills']"
273,1.0,,,60800.0,82900.0,,False,"['Report Automation', 'Data Movement', 'Communication Effectiveness', 'Detail-Oriented', 'Data Analysis Software', 'Data Mining', 'Core Systems', 'Active Learning', 'Problem Solving', 'Listening', 'Database Structures', 'Data Administration', 'Producing Results', 'Data Gathering', 'Standard Operating Procedures', 'Highly Organized']"
274,3.0,,,,,BS,False,"['SQL', 'Microsoft SQL', 'PostgreSQL', 'SQL queries', 'Data warehouse', 'Data visualization', 'Data modeling', 'Data structures', 'Statistical analysis', 'ETL processes', 'ETL tools', 'API-based data extraction', 'Tableau', 'Looker', 'Yellowfin', 'Power BI', 'Dundas', 'QlikView', 'Qlik sense', 'Apache superset', 'Amazon QuickSight', 'Python', 'R', '.Net']"
275,5.0,,,,,BS,True,"['data governance', 'Informatica', 'Excel', 'Stakeholder Collaboration', 'Data Quality Assurance', 'Master Data Management', 'Policy Implementation', 'Project Leadership', 'User Onboarding']"
276,,,,,,BS,False,"['financial analysis', 'data analysis', 'MS Excel', 'MS PowerPoint', 'MS Power BI', 'Microsoft Tools', 'Microsoft Office 365', 'communication skills', 'presentation skills']"
277,2.0,,,80000.0,155000.0,BS/MS,False,"['data analysis', 'data science', 'statistics', 'communication', 'collaboration', 'automation', 'effectiveness', 'SQL', 'Python', 'Power BI', 'Tableau']"
278,,,,125000.0,184000.0,,False,"['SQL', 'Python', 'data analysis', 'B2B SaaS', 'A/B testing', 'dashboards', 'collaboration', 'marketing sciences', 'dbt', 'AWS Redshift']"
279,5.0,,,,,BS,True,"['Scrum Master', 'Business Analysis', 'SQL', 'Data Analysis', 'Cloud Datawarehouse', 'Microsoft Office']"
280,,,,60500.0,123400.0,,False,"['data analysis', 'metric preparation', 'visualization', 'technical proficiency', 'analytical skills', 'business proficiency', 'process improvements', 'technology tools', 'data profiling', 'data validation', 'collaboration']"
281,,,,,,,False,"['logistics coordination', 'Excel', 'SQL', 'report generation', 'data processing', 'communication', 'problem solving', 'automation', 'data analysis']"
282,,,,,,,False,"['Microsoft Office', 'network file shares', 'data copy tools', 'file archiving tools', 'analytical thinking', 'critical thinking', 'problem solving', 'communication skills', 'organizational skills', 'time management', 'editing skills', 'spelling skills', 'grammar skills', 'e-Discovery Reference Model', 'scripting language', 'forensic imaging software']"
283,,,,60000.0,70000.0,BS/MS,True,"['Data analysis', 'Python', 'Business analysis', 'Excel skills']"
284,,,,,,,True,"['SDLC', 'agile', 'Jira', 'Confluence', 'strategic thinking', 'problem solving', 'communication', 'multi-functional teams', 'user requirements', 'data warehouses', 'Data Lakes', 'Databricks', 'AWS', 'Azure', 'data analysis', 'recommendations', 'analytic skills', 'unstructured data', 'structured data', 'interpersonal skills', 'verbal communication', 'written communication', 'minimal supervision', 'fast-paced environment', 'DevOps', 'CI/CD', 'CDL', 'EDW', 'Quality', 'GxP', 'LIMS', 'NC', 'CAPA', 'Audit systems', 'Trackwise', 'Comet', 'Curve', 'PQMS', 'Summit', 'ETQ Instict']"
285,,,,,,BS/MS,False,"['Python programming', 'machine learning', 'deep learning', 'Text Analytics', 'Natural Language Processing', 'databases']"
286,,,,,,BS,True,"['SQL', 'Python', 'R', 'Excel', 'PowerPoint', 'Tableau', 'data acquisition', 'data manipulation', 'data cleaning', 'statistical analysis', 'predictive modelling', 'presentation skills', 'collaboration']"
287,4.0,,,,,BS,False,"['SQL', 'Python', 'Data Processing', 'Spark', 'Software Engineering', 'Cloud Computing', 'Data Visualization', 'Data Analytics', 'Data Structures', 'Data Science']"
288,5.0,,,,,BS,False,"['data analysis', 'mathematical modeling', 'statistical techniques', 'data ingestion', 'data validation', 'automation', 'Power BI', 'SQL', 'PowerShell', 'python', 'API Integration', 'client facing', 'project management']"
289,6.0,,,,,BS/MS,False,"['statistics', 'mathematics', 'computer science', 'quantitative methods', 'statistical analysis', 'test design', 'experimentation', 'data analysis', 'SQL', 'data visualization', 'scripting languages', 'Python', 'R', 'data storytelling', 'ML models']"
290,12.0,,,,,BS/MS,False,"['data management', 'data analytics', 'web applications', 'data analysis', 'Tableau', 'SQL', 'Python', 'Machine Learning', 'problem-solving']"
291,7.0,,,,,,False,"['SQL', 'ETL', 'Data Analysis', 'Data Engineering', 'Automation', 'Reporting Tools', 'Data Lakehouse', 'Data Visualization']"
292,,10.0,50.0,,,,True,"['mathematics', 'attention to detail', 'English proficiency', 'data literacy', 'technical aptitude', 'self-motivation']"
293,1.0,,,,,,False,"['data analysis', 'report generation', 'dashboard evaluation', 'performance measurement', 'system administration']"
294,5.0,,,,,BS,False,"['data management', 'ERP', 'data governance', 'communication', 'project management', 'teamwork', 'Agile']"
295,1.0,,,82000.0,109000.0,,True,"['product analytics', 'agile', 'customer journey mapping', 'audience profiling', 'cohort analysis', 'SQL', 'Tableau', 'Python', 'R']"
296,,,,,,Undergraduate or Graduate Degree,False,"['data entry', 'Excel', 'PowerPoint', 'presentation preparation', 'customer relationship management', 'data analysis', 'problem-solving', 'critical thinking']"
297,3.0,,,79700.0,111300.0,,True,"['Excel', 'Microsoft Office', 'communication', 'detail oriented']"
298,5.0,,,,,BS,False,"['data mapping', 'data modeling', 'data profiling', 'SQL', 'Databricks', 'AWS', 'data visualization']"
299,,21.0,21.0,,,BS,False,"['financial services', 'communication', 'teamwork', 'pressure', 'quick learner', 'result-focused', 'Microsoft Office', 'SQL', 'databases', 'macros']"
300,,,,,,,True,"['Business Intelligence', 'Data Warehousing', 'Snowflake', 'dbt Cloud', 'SQL', 'database analysis', 'data modeling', 'Excel', 'data visualization', 'Tableau', 'QlikView', 'Power BI', 'ETL', 'Azure Data Factory', 'Talend', 'Informatica', 'AWS', 'SAP', 'Agile SDLC', 'Azure/DevOps', 'MS Office', 'Visio', 'Project', 'FTP', 'SoapUI']"
301,3.0,,,,,BS,False,"['data analysis', 'SQL', 'Excel', 'data storytelling', 'problem solving', 'communication']"
302,1.0,,,,,,True,"['data analysis', 'MS Excel', 'relational databases', 'analytical skills', 'data collection', 'communication', 'technology']"
303,5.0,,,,,BS/MS,False,"['data analysis', 'SQL', 'Python', 'statistical methods', 'data visualization', 'cloud data warehouses', 'Agile', 'User Experience Research', 'web analytics']"
304,5.0,,,,,,True,"['Python', 'Oracle SQL', 'data analysis', 'healthcare', 'claims data', 'data modeling']"
305,,25.0,30.0,,,,False,"['MS Excel', 'data management software', 'third-party vendors', 'MS Teams', 'Outlook', 'web-based applications', 'financial services', 'data management', 'validation processes']"
306,,,,,,,False,"['forecasting', 'data analysis', 'engineering BOM', 'model data']"
307,3.0,,,,,BS,False,"['data analysis', 'social analytics', 'microsoft office', 'data', 'time management', 'esh', 'data management', 'sustainability', 'communication', 'data collection', 'esg', 'environmental', 'enablon', 'large-scale data analysis', 'reporting', 'cross-functional collaboration']"
308,10.0,,,,,,False,"['analytical thinking', 'data transformation', 'compliance reviews', 'data validation', 'reporting', 'process improvements', 'Microsoft applications']"
309,0.0,,,,,BS,False,"['Data Visualization', 'SQL', 'DAX', 'Data Modeling', 'Communication Skills', 'Analytical Skills']"
310,5.0,,,,,BS,False,"['Power BI', 'DAX', 'SQL', 'Excel', 'Microsoft Office', 'Python', 'R', 'Google Looker', 'Business Objects', 'data warehousing', 'data modelling', 'ETL', 'reporting']"
311,,70.0,78.0,,,,False,"['SQL', 'Tableau', 'Python', 'ETL', 'Machine Learning']"
312,5.0,,,,,MS,True,"['SQL', 'Python', 'Statistical Analytics', 'Looker Dashboards', 'Data Engineering', 'Data instrumentation', 'mining and cleansing', 'Mathematical modeling', 'statistical modeling', 'Marketing Analytics']"
313,2.0,,40.0,,84000.0,,False,"['Python', 'SQL', 'data validation', 'data cleansing', 'automation', 'process improvement', 'VBA', 'Advanced Excel']"
314,1.0,,,75000.0,125000.0,BS,True,"['communication', 'data analysis', 'SQL', 'Python', 'ESG', 'PowerPoint', 'Excel']"
315,8.0,,,,,,False,"['data analysis', 'data engineering', 'marketing data', 'SQL', 'data pipelines', 'ETL', 'data warehouses', 'visualization tools', 'campaign targeting', 'collaboration', 'lifelong learner', 'marketing automation', 'data onboarding']"
316,5.0,,,,,BS/MS,False,"['SQL', 'data visualization', 'python', 'ML models', 'analytical framework', 'communications']"
317,9.0,,,,,BS/MS,False,"['analytics', 'SQL', 'Python/R', 'statistical methods', 'data visualization', 'cloud data warehouses', 'Agile Product Development', 'User Experience Research', 'web analytics', 'Causal Inference']"
318,1.0,,,,,,False,"['pipeline management', 'business intelligence', 'CRM tool', 'analytical skills', 'proposal management', 'communication skills', 'organizational skills', 'MS Office Suite', 'Adobe Acrobat']"
319,2.0,,,,,BS,False,"['AWS', 'ETL', 'data extraction', 'data mapping', 'data modeling', 'data testing', 'Agile methodologies', 'analytical skills', 'communication skills']"
320,1.0,0.0,0.0,62400.0,86940.0,,True,"['Microsoft Excel', 'Power BI', 'SQL', 'data analysis', 'reporting', 'dashboard', 'critical thinking', 'problem solving', 'communication', 'organization', 'time management']"
321,2.0,,,,,BS/MS,True,"['Data Analytics', 'Statistics', 'SQL', 'Business Intelligence', 'Domo', 'Power BI', 'Tableau', 'Attention to Detail', 'Critical Thinking', 'Professional Communication', 'Python']"
322,2.0,,,80000.0,90000.0,Graduate degree preferred,False,"['threat intelligence', 'risk analysis', 'security issues', 'communication skills', 'organizational skills']"
323,3.0,,,,,BA/BS,False,"['Data Analytics', 'Machine Learning', 'Automation', 'Visualization', 'Python', 'R', 'SQL', 'Alteryx', 'Databricks', 'Denodo', 'UiPath', 'Tableau']"
324,0.0,,,,,BS/MS,True,"['statistical models', 'analytic techniques', 'R', 'Tableau', 'SAS', 'Visual Basic', 'Excel', 'programming', 'Java', 'Python', 'data analytics', 'communication', 'problem-solving', 'teamwork']"
325,1.0,,,60800.0,82900.0,,True,"['Report Automation', 'Data Movement', 'Communication Effectiveness', 'Detail-Oriented', 'Data Analysis Software', 'Data Mining', 'Core Systems', 'Active Learning', 'Problem Solving', 'Listening', 'Database Structures', 'Data Administration', 'Producing Results', 'Data Gathering', 'Standard Operating Procedures', 'Highly Organized']"
326,5.0,,,,,BS,False,"['data analysis', 'data modeling', 'SQL', 'Python', 'ETL', 'REST API', 'schema design', 'machine learning', 'cloud platforms', 'data reporting', 'data visualization']"
327,5.0,,,,,BS,True,"['SAS programming', 'SQL', 'data visualization', 'SAS macro', 'analytical skills', 'API development', 'Power BI', 'Tableau', 'Excel']"
328,6.0,,,90000.0,115000.0,BS,False,"['data analysis', 'troubleshooting', 'technical documentation', 'test planning', 'communication skills', 'Navy C2 systems', 'data analysis tools']"
329,4.0,,,170000.0,170000.0,MS,True,"['data analysis', 'reporting', 'dash boarding', 'Tableau', 'SQL', 'Python', 'data integration', 'ETL', 'data lakes']"
330,2.0,,,,,BS,True,"['GIS', 'ESRI Suite', 'data editing', 'spatial analysis', 'relational databases', 'database queries', 'SQL']"
331,16.0,,,100000.0,107000.0,BS,False,"['data analysis', 'SQL code development', 'IT standards', 'system testing', 'database management', 'metadata creation', 'reporting', 'software development life cycle', 'data warehousing', 'BI systems']"
332,2.0,,,,,BS,False,"['data analysis', 'SQL', 'data pipelining', 'data mining', 'data visualization', 'communication', 'Excel', 'Power BI', 'Power Query', 'Hadoop', 'Python', 'R', 'Alteryx', 'Google Big Query', 'Tableau']"
333,5.0,,,,,BS/MS,False,"['analytics', 'SQL', 'Python', 'data visualization', 'statistical methods', 'cloud computing', 'Agile development', 'user research', 'web analytics']"
334,,60.0,65.0,,,MS,True,"['data manipulation', 'predictive modeling', 'statistical techniques', 'machine learning', 'Python', 'SQL', 'data visualization', 'cloud computing', 'GitHub', 'CI/CD']"
335,1.0,,,,,,True,"['Alteryx', 'JQL']"
336,2.0,,,70000.0,90000.0,BS,True,"['data analysis', 'insights', 'dashboards', 'reporting', 'forecasting', 'presentation skills', 'stakeholder engagement']"
337,2.0,,,85000.0,115000.0,BS,False,"['data engineering', 'software development', 'Python', 'UI programming', 'JSON', 'XML', 'PostgreSQL', 'MySQL', 'Agile development', 'Gitlab', 'Atlassian Jira', 'Confluence', 'Bitbucket', 'problem-solving', 'analytical thinking', 'communication', 'teamwork', 'detail oriented']"
338,2.0,,,,,BS,False,"['intelligence analysis', 'teamwork', 'report drafting', 'communication', 'problem-solving', 'adaptability']"
339,0.0,,,,,BS,False,"['genomics', 'statistics', 'Linux', 'programming', 'MRI', 'data integrity', 'bioinformatics', 'scripting', 'research design', 'teamwork', 'communication', 'laboratory procedures']"
340,0.0,,,,,BS,True,"['Data Visualization', 'SQL', 'Data Modeling', 'Communication', 'Analytical']"
341,8.0,,,,,BA/BS,False,"['data mining', 'statistical analysis', 'trend analysis', 'causal analysis', 'data manipulation', 'problem-solving', 'statistics', 'programming', 'SQL', 'data visualization', 'data cleaning']"
342,7.0,27.0,,,,Undergraduate degree preferred,False,"['data entry', 'communication', 'legal document review', 'attention to detail', 'organizational skills', 'Microsoft Office', 'customer service', 'teamwork']"
343,,,,100000.0,,BS/MS,False,"['Core Java', 'javascript', 'C++', 'software programming', 'Spring boot', 'Microservices', 'Docker', 'Jenkins', 'Github', 'Kubernates', ""REST API's"", 'Statistics', 'Gen AI', 'LLM', 'Sagemaker', 'Python', 'Computer Vision', 'data visualization tools']"
344,2.0,,,,,BS,False,"['SQL', 'BI tools', 'statistical analysis', 'Excel', 'data warehousing', 'data quality', 'ad hoc analysis']"
345,,,,90000.0,115000.0,BS,False,"['HR analytics', 'data analysis', 'Excel', 'SQL', 'Tableau', 'Power BI', 'ServiceNow', 'predictive analytics', 'communication skills', 'HR principles']"
346,2.0,,,48024.0,60336.0,BS,True,"['data analysis', 'Microsoft Excel', 'problem-solving', 'organizational skills', 'communication skills', 'presentation skills', 'large data sets', 'Tableau', 'Oracle BI']"
347,1.0,,,,,BS,False,"['analytical skills', 'data insights', 'project management', 'communication skills', 'self-starter', 'Google Analytics', 'CRM platforms', 'Python', 'SQL', 'data analysis tools']"
348,,,,,,,False,
349,10.0,,,,,BS/MS,False,"['data analysis', 'SQL']"
350,0.0,,,,,,True,"['communication skills', 'multitasking', 'teamwork', 'organization', 'attention to detail']"
351,,,,,,BS,True,"['data analysis', 'data modeling', 'SQL', 'Databricks', 'AWS', 'data profiling', 'data validation', 'data cleansing']"
352,3.0,,,,,BS/MS,False,"['Python', 'SQL', 'data analysis', 'data science', 'AI', 'automation']"
353,3.0,,,,,BS/BA,False,"['SQL', 'data analysis', 'MS Office', 'Excel', 'communication skills', 'organizational skills', 'time management']"
354,,40.0,45.0,,,,True,"['data analysis', 'Tableau', 'PowerBI', 'Looker', 'analytical skills', 'problem-solving', 'communication', 'presentation skills', 'Microsoft Excel', 'iWork Suite']"
355,3.0,,,,,BS,False,"['data analysis', 'data visualization', 'SQL', 'Microsoft Office']"
356,,,,,,BS/MS,False,"['programming languages', 'software development life cycle', 'Core Java', 'JavaScript', 'C++', 'Spring boot', 'Microservices', 'REST APIs', 'Statistics', 'Python', 'data visualization', 'NLP', 'Text mining', 'Tableau', 'Time series analysis', 'written communication', 'verbal communication']"
357,1.0,,,44419.0,62186.0,BS,False,"['data analysis', 'business requirements', 'statistical analysis', 'Microsoft Excel', 'problem-solving']"
358,1.0,,,45000.0,50000.0,BS,False,"['data analysis', 'data collection', 'Power BI', 'Microsoft 365', 'data visualization', 'data literacy']"
359,,,,,,MS,False,"['programming', 'data science', 'statistical modeling', 'machine learning', 'econometrics', 'optimization']"
360,2.0,,,,,BA or BS,True,"['data analytics', 'business analysis', 'Excel', 'PowerPoint', 'data manipulation', 'dashboard development', 'storytelling', 'analytical skills', 'communication', 'presentation skills', 'organizational skills', 'time management', 'interpersonal skills', 'problem-solving', 'SQL', 'Tableau']"
361,2.0,,,,,BS,False,"['HR data management', 'data migration', 'data cleaning', 'data validation', 'user acceptance testing', 'system integration']"
362,2.0,48.0,50.0,100000.0,105000.0,BS,False,"['data visualization', 'data management', 'databases', 'programming', 'Excel', 'problem solving', 'communication', 'social media analytics', 'conflict analysis']"
363,,,,,,BS/MS,False,"['Java', 'software development life cycle', 'Core Java', 'javascript', 'C++', 'Spring boot', 'Microservices', 'Docker', 'Jenkins', 'REST APIs', 'Statistics', 'SAS', 'Python', 'Computer Vision', 'data visualization', 'NLP', 'Text mining', 'Tableau', 'PowerBI', 'Time series analysis']"
364,1.0,,,,,,False,"['data analysis', 'SQL', 'Looker', 'Python', 'risk management', 'statistical methods', 'communication']"
365,0.0,,,,,,True,"['Alteryx', 'JQL']"
366,,,,,,,True,"['programming', 'mathematics', 'statistics', 'data analysis', 'technical documentation', 'quantitative finance', 'Microsoft Office', 'communication', 'project management', 'organization']"
367,5.0,,,120000.0,150000.0,,False,"['SQL', 'data architecture', 'data visualization', 'data analysis', 'business intelligence', 'web analytics']"
368,1.0,,,60800.0,82900.0,,False,"['Report Automation', 'Data Movement', 'Communication Effectiveness', 'Detail-Oriented', 'Data Analysis Software', 'Data Mining', 'Core Systems', 'Active Learning', 'Problem Solving', 'Listening', 'Database Structures', 'Data Administration', 'Producing Results', 'Data Gathering', 'Standard Operating Procedures', 'Highly Organized']"
369,4.0,,,,,BS,True,"['Adobe CJA', 'Adobe AEP', 'SQL', 'Google Analytics', 'Power BI', 'Tableau', 'Python', 'R', 'communication', 'problem-solving']"
370,,,,,,BS,False,"['analytical skills', 'SQL', 'VBA', 'process improvement']"
371,,,,,,BS,False,"['analytical skills', 'critical thinking', 'problem-solving', 'Microsoft Excel', 'quantitative analysis', 'qualitative analysis', 'attention to detail', 'integrity', 'team player', 'collaboration']"
372,5.0,,,,,BS,False,"['analytics', 'SQL', 'Excel', 'programming', 'statistical analysis', 'collaborative']"
373,1.0,,,,,,False,"['data management', 'SQL', 'VBA', 'Python']"
374,5.0,,,125000.0,140000.0,,False,"['data visualization', 'dashboarding', 'SQL', 'dbt', 'user empathy', 'Looker', 'communication', 'problem solving']"
375,2.0,,,76800.0,96000.0,BS,False,"['business analytics', 'SQL', 'Excel', 'Google Sheets', 'Tableau']"
376,0.0,,,,,,True,"['Alteryx', 'JQL']"
377,3.0,,,,,BS,False,"['SQL', 'ETL', 'Python', 'SAS', 'reporting', 'troubleshooting', 'attention to detail', 'problem-solving', 'cloud-based']"
378,6.0,,,,,,True,"['Data Analysis', 'SQL', 'Oracle PL/SQL', 'system analysis', 'scripting', 'Python', 'process automation', 'project management', 'communication']"
379,5.0,65.0,80.0,,,,True,"['Power BI', 'SQL', 'DAX', 'Power Query', 'data analysis', 'reporting', 'data pipelines', 'dashboard development', 'programming']"
380,3.0,,,79700.0,111300.0,,True,"['Excel', 'Microsoft Office', 'communication', 'detail oriented']"
381,3.0,,,,,BS,False,"['Excel', 'data analytics', 'financial data', 'procurement', 'data manipulation', 'data visualization']"
382,,,,,,BS/MS,False,"['Core Java', 'javascript', 'C++', 'software programming', 'Spring boot', 'Microservices', 'Docker', 'Jenkins', 'Github', 'Kubernates', 'REST API', 'Statistics', 'Gen AI', 'LLM', 'Sagemaker', 'Python', 'Computer Vision', 'data visualization']"
383,0.0,,,,,,True,"['Alteryx', 'JQL']"
384,5.0,,,,,BS,False,"['analytics', 'SQL', 'Power BI', 'data sets', 'claims data', 'communication', 'EPIC', 'EHR']"
385,5.0,,,,,BS,False,"['data analytics', 'data visualization', 'SQL', 'Power BI', 'ETL', 'Excel', 'Python']"
386,3.0,,,,,BS,False,"['data management', 'data warehousing', 'analytics tools', 'data governance', 'data quality', 'regulatory compliance', 'leadership', 'project management', 'communication']"
387,2.0,,,74500.0,151600.0,BS,True,"['Analytical', 'Data Visualization', 'Technical Aptitude', 'Project Management', 'Solution-oriented', 'Reliable', 'Flexible', 'Strong Communication', 'Self-starter']"
388,3.0,,,,,,True,"['SQL', 'scripting languages', 'Excel', 'Google Sheets', 'oncology', 'cancer genomics', 'molecular biology', 'clinical trials', 'data manipulation', 'data cleaning', 'data visualization', 'communication', 'project management', 'automation']"
389,6.0,100.0,125.0,200000.0,250000.0,,True,"['analytics', 'SaaS', 'product-led growth', 'SQL', 'Looker', 'Hashboard', 'Omni', 'Python', 'R', 'statistical modeling', 'data-driven recommendations']"
390,5.0,,,90000.0,130000.0,,True,"['data analysis', 'business analysis', 'business intelligence', 'reporting', 'data governance', 'data management', 'analytical skills', 'project management', 'Excel', 'Power BI', 'technical communication', 'user liaison']"
391,2.0,,,48000.0,57000.0,,False,"['data entry', 'Microsoft Office', 'Excel', 'Outlook', 'Access', 'communication', 'organizational skills', 'problem-solving', 'critical-thinking']"
392,,,,,,BS,False,"['data visualization', 'dashboard design', 'data analytics', 'report generation', 'user testing', 'customer service', 'mentoring']"
393,5.0,,,,,BS,False,"['data science', 'business intelligence', 'statistical analysis', 'data governance', 'analytical skills', 'aviation industry']"
394,5.0,,,,,BS,False,"['SQL', 'Tableau', 'data modeling', 'database design', 'ETL', 'data integration', 'data warehousing', 'analytical skills', 'problem-solving', 'communication']"
395,,,,,,,False,"['quantitative research', 'predictive models', 'statistical techniques', 'machine learning', 'algorithm development']"
396,1.0,,,,,BS,False,"['forensic data collection', 'forensic analysis', 'legal coordination', 'forensic tool maintenance', 'project management', 'documenting procedures', 'chain of custody', 'standard operating procedures', 'quality checks', 'IT functions', 'organizing skills', 'communication', 'travel', 'workflow documentation', 'team training', 'troubleshooting']"
397,12.0,,,,,MS,False,"['data analytics', 'machine learning', 'statistical analysis', 'data visualization', 'Power BI', 'Tableau', 'R', 'Python']"
398,1.0,,,,,BS,False,"['quantitative skills', 'problem-solving', 'programming', 'data processing', 'client support', 'Perl', 'Java', 'Python', 'HTML', 'JavaScript', 'VisualBasic', 'MySQL', 'Windows Administration', 'Linux Administration']"
399,,,,,,MS,False,"['data analysis', 'data visualization', 'dashboard development', 'MS Office', 'programming']"
400,2.0,,,,,BS,False,"['project management', 'problem-solving', 'organization', 'interpersonal', 'teamwork', 'communication', 'technical writing', 'Microsoft Office', 'Python', 'SQL', 'R']"
401,1.0,,,44419.0,62186.0,BS,False,"['data analysis', 'statistical analysis', 'Microsoft Excel', 'problem-solving']"
402,3.0,,,79700.0,111300.0,,True,"['Excel', 'Microsoft Office', 'communication', 'detail oriented', 'initiative', 'SAP', 'Google Looker']"
403,2.0,,,,,,False,"['data analysis', 'BI tools', 'SQL', 'Excel']"
404,1.0,,,,,,False,"['SQL', 'BigQuery', 'data visualization', 'Excel', 'communication', 'E-commerce', 'Digital Marketing']"
405,8.0,,,120000.0,177000.0,BS,True,"['Data Analysis', 'Strategy Development', 'Tool Evaluation', 'Data Governance', 'Performance Monitoring', 'Stakeholder Engagement', 'Project Management', 'Communication Skills', 'Continuous Learning']"
406,3.0,,,66000.0,86940.0,BS,True,"['data analysis', 'business analytics', 'complex problem solving', 'business strategy', 'critical thinking', 'analytical reasoning', 'programming languages', 'Python', 'R', 'SQL', 'data visualization', 'Tableau', 'Power BI', 'communication skills']"
407,2.0,20.0,33.0,,,Bachelor’s,False,"['business experience', 'financial services', 'MS Excel', 'problem-solving', 'communication', 'independence']"
408,0.0,,,46770.0,74830.0,BS,False,"['business analysis', 'project management', 'data analytics', 'Microsoft Power BI', 'capacity management']"
409,4.0,,,110000.0,145000.0,,True,"['SQL', 'Python', 'data visualization', 'analytics', 'storytelling', 'collaboration', 'problem solving']"
410,1.0,,,44419.0,62186.0,BS,False,"['data analysis', 'statistical analysis', 'Microsoft Excel', 'organizational skills', 'problem-solving skills']"
411,1.0,,,44419.0,62186.0,BS,False,"['data analysis', 'statistical analysis', 'Microsoft Excel', 'problem-solving']"
412,10.0,,,,,BS,False,"['intelligence analysis', 'threat analysis', 'collaboration', 'expert advice', 'government briefings', 'combat operations']"
413,,,,120000.0,125000.0,,True,"['Excel', 'SQL', 'data analysis', 'data visualization', 'EMR extraction', 'communication', 'critical thinking']"
414,7.0,,,,,BS,False,"['sales analytics', 'product analytics', 'web analytics', 'customer analytics', 'data storytelling', 'SQL', 'Databrick', 'A/B testing', 'Tableau', 'Excel', 'Advanced Analytics', 'Python', 'R', 'machine learning']"
415,2.0,,,,,BS,False,"['Power BI', 'analytics', 'business reporting', 'manufacturing', 'MySQL', 'MSSQL', 'Oracle', 'SQL', 'analytical skills', 'process optimization', 'cross-functional teams']"
416,,,,,,BS,False,"['AI', 'Python programming', 'data analytics', 'data integration', 'data warehousing', 'machine learning', 'problem-solving', 'communication', 'collaboration']"
417,5.0,,,,,Associate’s degree or Bachelor’s degree,True,"['SQL Reporting', 'SQL database design', 'Microsoft Office Suite', 'Excel', 'SharePoint', 'Microsoft Power Apps', 'Power Automate', 'Power Bi', 'software solutions', 'programming languages']"
418,3.0,,,,,BS/MS/PHD,False,"['data analysis', 'data visualization', 'Python', 'R', 'SQL', 'statistical analysis', 'machine learning', 'big data', 'data manipulation', 'database management', 'communication']"
419,3.0,,,100000.0,120000.0,MS/PhD,False,"['data analysis', 'database development', 'data cleaning', 'data visualization', 'statistical tools', 'Bayesian inference', 'food safety']"
420,2.0,,,,,BS,False,"['project management', 'problem-solving', 'organizational skills', 'interpersonal skills', 'teamwork', 'communication', 'Microsoft Office', 'programming']"
421,1.0,,,,,BS,False,"['process redesign', 'system implementation', 'return on investment', 'organizational change', 'client service', 'communication', 'presentation', 'relationship building', 'independent work', 'team player', 'Microsoft Office', 'Minitab']"
422,,,,,,,False,"['Business Intelligence', 'Power BI', 'SQL', 'ETL', 'data modeling', 'data transformation', 'visual reports', 'dashboards', 'KPI scorecards', 'sales', 'billing', 'customer service']"
423,2.0,,,,,BS,True,"['Power BI', 'data visualization', 'data modeling', 'data analysis', 'statistical analysis', 'stakeholder management', 'documentation', 'training']"
424,,45.0,61.0,,,BS/MS,False,"['SQL', 'statistics', 'data visualization', 'business analysis']"
425,1.0,,,,,BS/MS/PHD,False,"['SQL', 'statistical modeling', 'causal inference', 'experimentation', 'Python', 'R', 'data visualization']"
426,,,,,,,False,"['Business Intelligence', 'reporting solutions', 'data modeling', 'data transformation', 'SQL', 'ETL', 'visual reports', 'dashboards', 'KPI scorecards', 'customer service']"
427,,16.0,75.0,,,MS,False,"['data science', 'analytics', 'machine learning', 'SQL', 'Excel', 'problem solving']"
428,,,,,,,False,[]
429,5.0,,,,,BS,,"['data analytics', 'business intelligence', 'marketing analytics', 'product analytics', 'strategy', 'operations', 'analytical tools', 'SQL', 'Excel', 'Tableau', 'data visualization', 'statistical analysis', 'predictive modeling', 'data model optimization']"
430,,25.0,,,,MBA,False,"['analytical skills', 'communication', 'organizational skills', 'teamwork', 'multi-tasking', 'Excel', 'PowerPoint', 'Word', 'data analytics', 'data visualization']"
431,3.0,,,,,BS,True,"['data governance', 'data management', 'data quality', 'metadata management', 'data privacy', 'stakeholder management', 'change management']"
432,2.0,,,,,,False,"['data', 'SQL', 'AML', 'Fraud', 'Risk', 'KYC', 'Financial Crimes', 'analytical', 'problem-solving', 'communication', 'collaboration']"
433,1.0,,,,,BS,False,"['data entry', 'Microsoft Office', 'organizational skills', 'communication skills', 'analytical skills', 'problem-solving skills', 'attention to detail', 'quality control']"
434,5.0,,,,,BS,True,"['data management', 'data analysis', 'product management', 'technical attributes', 'communication', 'collaboration', 'problem-solving', 'organizational abilities']"
435,2.0,40.0,,,,BS,True,"['market research', 'data analysis', 'Power BI', 'project management', 'survey design', 'financial statements', 'communication']"
436,5.0,,,,,MS,False,"['web analytics', 'A/B testing', 'causal inference', 'SQL', 'Python', 'R', 'data visualization', 'data manipulation', 'big data', 'machine learning', 'data storytelling']"
437,4.0,,,,,BS,False,"['data analysis', 'report writing', 'budget management', 'cost tracking', 'Maximo software', 'Microsoft Office', 'accounting methods']"
